Date,RegionName,DaysOnZillow_AllHomes,InventorySeasonallyAdjusted_AllHomes,InventoryRaw_AllHomes,MedianListingPricePerSqft_AllHomes,MedianListingPrice_AllHomes,MedianPctOfPriceReduction_AllHomes,MedianPriceCutDollar_AllHomes,MedianRentalPricePerSqft_AllHomes,MedianRentalPrice_AllHomes,ZHVIPerSqft_AllHomes,PctOfHomesDecreasingInValues_AllHomes,PctOfHomesIncreasingInValues_AllHomes,PctOfListingsWithPriceReductionsSeasAdj_AllHomes,PctOfListingsWithPriceReductions_AllHomes,PriceToRentRatio_AllHomes,ZHVI_AllHomes,ZRI_AllHomes,ZRI_AllHomesPlusMultifamily,ZriPerSqft_AllHomes
12/31/17,"Kent, Delaware",,933,906,119.106383,238500,3.145142764,5100,0.838709677,1250,119,24.45,64.48,13.40859225,10.09933775,12.1,180800,1257,1260,0.82
12/31/17,"New Castle, Delaware",,1984,1923,130.4632929,229900,2.871513677,5000,0.918032787,1300,183,1.71,97.77,17.42564243,12.18784942,15.67,275200,1498,1487,0.988
12/31/17,"Sussex, Delaware",,2744,2609,163.1643357,329900,3.031221582,10000,,1400,,,,11.26242859,7.258064516,,,1380,1381,0.806
12/31/17,"Autauga, Alabama",,276,252,101.4940158,179900,2.701350675,5000,0.723356009,1275,82,15.92,73.94,12.8990031,8.637873754,10.55,131300,1031,1033,0.67
12/31/17,"Baldwin, Alabama",,2917,2754,139.7409344,295000,2.43902439,5100,0.856351875,1350,107,36.43,55.48,11.38349711,8.624354692,11.41,195600,1398,1384,0.818
12/31/17,"Barbour, Alabama",,146,142,89.42105263,169900,,,,,,,,12.34586315,10.88435374,,,,,
12/31/17,"Bibb, Alabama",,48,49,79.87174002,128700,,,,,,,,,,,,,,
12/31/17,"Blount, Alabama",,190,201,89.45837003,169900,3.400935188,5000,,,86,21.14,69.98,10.61095907,7.480314961,11.27,136400,,,
12/31/17,"Butler, Alabama",,,,70.14732618,123500,,,,,,,,,,,,924,914,0.612
12/31/17,"Calhoun, Alabama",,520,504,61.18253652,115950,5.041536287,5050,0.49881024,737.5,,,,10.30394005,8.319467554,,,782,746,0.544
12/31/17,"Chambers, Alabama",,109,108,54.71611722,87400,8.320493066,5075,,,42,,,12.49204243,10.44776119,,,,,
12/31/17,"Cherokee, Alabama",,,,113.8126539,199900,,,,,,,,7.952831309,5.194805195,,,980,978,0.64
