Date,RegionName,DaysOnZillow_AllHomes,InventorySeasonallyAdjusted_AllHomes,InventoryRaw_AllHomes,MedianListingPricePerSqft_AllHomes,MedianListingPrice_AllHomes,MedianPctOfPriceReduction_AllHomes,MedianPriceCutDollar_AllHomes,MedianRentalPricePerSqft_AllHomes,MedianRentalPrice_AllHomes,ZHVIPerSqft_AllHomes,PctOfHomesDecreasingInValues_AllHomes,PctOfHomesIncreasingInValues_AllHomes,PctOfHomesSellingForGain_AllHomes,PctOfHomesSellingForLoss_AllHomes,PctOfListingsWithPriceReductionsSeasAdj_AllHomes,PctOfListingsWithPriceReductions_AllHomes,PriceToRentRatio_AllHomes,Sale_Counts,Sale_Counts_Seas_Adj,Sale_Prices,ZHVI_AllHomes,ZRI_AllHomes,ZRI_AllHomesPlusMultifamily,ZriPerSqft_AllHomes
12/31/17,"Kent, Delaware",,933.0,906.0,119.106383,238500.0,3.145142764,5100.0,0.838709677,1250.0,119.0,24.45,64.48,,,13.40859225,10.09933775,12.1,,,,180800.0,1257.0,1260.0,0.82
12/31/17,"New Castle, Delaware",,1984.0,1923.0,130.4632929,229900.0,2.871513677,5000.0,0.918032787,1300.0,183.0,1.71,97.77,,,17.42564243,12.18784942,15.67,,,,275200.0,1498.0,1487.0,0.988
12/31/17,"Sussex, Delaware",,2744.0,2609.0,163.1643357,329900.0,3.031221582,10000.0,,1400.0,,,,,,11.26242859,7.258064516,,,,,,1380.0,1381.0,0.806
12/31/17,"Autauga, Alabama",,276.0,252.0,101.4940158,179900.0,2.701350675,5000.0,0.723356009,1275.0,82.0,15.92,73.94,,,12.8990031,8.637873754,10.55,,,,131300.0,1031.0,1033.0,0.67
12/31/17,"Baldwin, Alabama",,2917.0,2754.0,139.7409344,295000.0,2.43902439,5100.0,0.856351875,1350.0,107.0,36.43,55.48,,,11.38349711,8.624354692,11.41,,,,195600.0,1398.0,1384.0,0.818
12/31/17,"Barbour, Alabama",,146.0,142.0,89.42105263,169900.0,,,,,,,,,,12.34586315,10.88435374,,,,,,,,
12/31/17,"Bibb, Alabama",,48.0,49.0,79.87174002,128700.0,,,,,,,,,,,,,,,,,,,
12/31/17,"Blount, Alabama",,190.0,201.0,89.45837003,169900.0,3.400935188,5000.0,,,86.0,21.14,69.98,,,10.61095907,7.480314961,11.27,,,,136400.0,,,
12/31/17,"Butler, Alabama",,,,70.14732618,123500.0,,,,,,,,,,,,,,,,,924.0,914.0,0.612
12/31/17,"Calhoun, Alabama",,520.0,504.0,61.18253652,115950.0,5.041536287,5050.0,0.49881024,737.5,,,,,,10.30394005,8.319467554,,,,,,782.0,746.0,0.544
