Date,RegionName,DaysOnZillow_AllHomes,InventorySeasonallyAdjusted_AllHomes,InventoryRaw_AllHomes,MedianListingPricePerSqft_AllHomes,MedianListingPrice_AllHomes,MedianPctOfPriceReduction_AllHomes,MedianPriceCutDollar_AllHomes,MedianRentalPricePerSqft_AllHomes,MedianRentalPrice_AllHomes,ZHVIPerSqft_AllHomes,PctOfHomesDecreasingInValues_AllHomes,PctOfHomesIncreasingInValues_AllHomes,PctOfHomesSellingForGain_AllHomes,PctOfHomesSellingForLoss_AllHomes,PctOfListingsWithPriceReductionsSeasAdj_AllHomes,PctOfListingsWithPriceReductions_AllHomes,PriceToRentRatio_AllHomes,Sale_Counts,Sale_Counts_Seas_Adj,Sale_Prices,ZHVI_AllHomes,ZRI_AllHomes,ZriPerSqft_AllHomes
1/31/17,Alabama,125.5,29336,26946,90.60681629,174900,3.502501787,5000,0.675023277,995,76,32.19,58.19,,,12.56703299,12.02356202,10,4145,5694,135100,123900,994,0.64
1/31/17,Alaska,119.875,3454,2724,163.1374468,265000,2.470871783,6000,1.194921583,1595,182,,,,,13.09999909,10.30765776,12.17,404,596,305300,266800,,1.276
1/31/17,Arizona,83.5,32001,31796,139.0407674,255000,2.042517716,5000,0.833256101,1250,131,7.59,87.1,,,16.1668404,17.70886913,14.21,10524,14374,222400,218800,1276,0.814
1/31/17,Arkansas,119.625,17273,16280,88.74907476,149900,3.744816563,5000,0.709140602,995,75,21.03,70.9,,,11.67311473,11.19183193,10.23,2235,3006,136500,116000,945,0.626
1/31/17,California,82,69099,59077,276.0703997,468000,2.857142857,11000,1.702334346,2400,320,8.99,85.5,90.55,9.45,10.55811927,10.25037634,17.05,29657,41779,434600,487400,2409,1.554
1/31/17,Colorado,78.25,22809,18089,209.5808383,377779.5,2.62295082,10000,1.296296296,1700,202,5.3,91.8,94.4,5.6,9.318539085,7.72523577,14.56,7629,12307,319900,323100,1821,1.178
1/31/17,Connecticut,136.25,21057,17280,164.1081871,289500,3.847633705,10000,1.286683152,1695,152,34.65,50.69,,,15.13365473,13.51018397,11.63,2704,3475,230600,242200,1762,1.184
1/31/17,Delaware,123.875,6670,6170,137.2387319,264900,3.333814905,6700,0.856998848,1300,138,31.58,53.53,,,15.19702864,13.76135056,12.62,1119,1317,225600,214600,1390,0.928
1/31/17,DistrictofColumbia,77.25,1229,1041,488.7777778,546000,3.242096774,15700,2.875,2520,490,10.2,82.83,,,13.05996551,12.26749336,17.06,626,740,539800,542100,2605,2.24
1/31/17,Florida,105.5,142690,143781,153.6702017,269900,3.031323678,9500,1.202749141,1629,129,8.51,87.18,,,14.92451789,16.53349866,10.98,32098,41366,203600,202900,1538,1.05
